time_s,pos_x,pos_y,pos_z,Qw,Qx,Qy,Qz,R00,R01,R02,R10,R11,R12,R20,R21,R22
0.00000000,0.00000,0.00000,1.50000,0.989768,-0.000611,0.001096,0.008720,0.990216,0.000000,0.139543,0.034524,0.968912,-0.244983,0.135205,-0.247404,0.959433
0.00191571,0.03640,0.00096,1.50383,0.987043,-0.004715,0.009894,0.076782,0.980862,-0.136156,0.139178,0.166992,0.955853,-0.241783,0.100113,-0.260398,0.960297
0.00383142,0.07280,0.00192,1.50763,0.979641,-0.007624,0.019091,0.144504,0.952894,-0.269745,0.138675,0.296504,0.924735,-0.238644,0.063865,-0.268521,0.961155
0.00574713,0.10919,0.00287,1.51139,0.967595,-0.009331,0.028659,0.211567,0.906837,-0.398236,0.138040,0.420608,0.876120,-0.235588,0.027120,-0.271701,0.962000
0.00766284,0.14559,0.00383,1.51511,0.950959,-0.009811,0.038577,0.277653,0.843559,-0.519194,0.137277,0.536952,0.810903,-0.232635,-0.009464,-0.269953,0.962827
0.00957854,0.18198,0.00479,1.51880,0.929809,-0.009026,0.048838,0.342449,0.764256,-0.630325,0.136391,0.643324,0.730290,-0.229806,-0.045247,-0.263374,0.963632
0.01149425,0.21838,0.00575,1.52245,0.904243,-0.006918,0.059441,0.405647,0.670425,-0.729521,0.135389,0.737694,0.635786,-0.227118,-0.079609,-0.252141,0.964410
0.01340996,0.25477,0.00670,1.52606,0.874379,-0.003407,0.070405,0.466947,0.563839,-0.814896,0.134277,0.818260,0.529159,-0.224590,-0.111964,-0.236507,0.965157
0.01532567,0.29116,0.00766,1.52964,0.840356,0.001620,0.081760,0.526057,0.446514,-0.884827,0.133065,0.883475,0.412410,-0.222238,-0.141765,-0.216792,0.965869
0.01724138,0.32756,0.00862,1.53319,0.802333,0.008318,0.093563,0.582695,0.320671,-0.937982,0.131759,0.932079,0.287739,-0.220078,-0.168517,-0.193382,0.966543
0.01915709,0.36395,0.00958,1.53669,0.760488,0.016897,0.105900,0.636589,0.188694,-0.973344,0.130369,0.963129,0.157498,-0.218121,-0.191774,-0.166720,0.967175
0.02107280,0.40034,0.01054,1.54017,0.715017,0.027651,0.118899,0.687482,0.053083,-0.990235,0.128905,0.976010,0.024153,-0.216381,-0.211154,-0.137298,0.967762
0.02298851,0.43673,0.01149,1.54360,0.666135,0.040988,0.132750,0.735129,-0.083590,-0.988326,0.127376,0.970455,-0.109770,-0.214867,-0.226340,-0.105652,0.968301
0.02490421,0.47311,0.01245,1.54700,0.614072,0.057500,0.147734,0.779302,-0.218729,-0.967643,0.125793,0.946546,-0.241726,-0.213588,-0.237084,-0.072351,0.968791
0.02681992,0.50950,0.01341,1.55036,0.559074,0.078057,0.164279,0.819787,-0.349769,-0.928571,0.124166,0.904715,-0.369205,-0.212550,-0.243210,-0.037991,0.969229
0.02873563,0.54589,0.01437,1.55369,0.501402,0.103994,0.183050,0.856389,-0.474219,-0.871842,0.122506,0.845741,-0.489777,-0.211759,-0.244621,-0.003188,0.969614
0.03065134,0.58228,0.01533,1.55698,0.441331,-0.033881,-0.050561,0.888931,-0.589711,-0.798525,0.120824,0.770726,-0.601140,-0.211217,-0.241294,0.031435,0.969943
0.03256705,0.61866,0.01628,1.56024,0.379145,-0.031114,-0.039703,0.917255,-0.694046,-0.710006,0.119131,0.681085,-0.701166,-0.210926,-0.233289,0.065254,0.970215
0.03448276,0.65504,0.01724,1.56346,0.315141,-0.027439,-0.030075,0.941223,-0.785235,-0.607959,0.117437,0.578514,-0.787940,-0.210885,-0.220743,0.097655,0.970431
