mold_name,manufacturer,disc_type,stability,rim_camber_shape,mass_kg,radius_m,rim_width_m,thickness_m,rim_depth_m,rim_camber_h_m,dome_height_m
Radius,1080 Disc Golf,Putter,Understable,Flat,0.17510,0.10550,0.01050,0.02000,0.01500,0.00499,0.00316
Bee Line,ABC Discs,Driver,Overstable,Concave,0.17510,0.10550,0.02450,0.01600,0.01100,0.00690,0.00437
Flying Squirrel,ABC Discs,Putter,Stable,Flat,0.18180,0.10950,0.01250,0.02000,0.01400,0.01900,0.00000
Gamma Ray,ABC Discs,Putter,Stable,Concave,0.17430,0.10500,0.01950,0.01800,0.01300,0.00458,0.00362
Mission,ABC Discs,Putter,Stable,Flat,0.18090,0.10900,0.01200,0.02000,0.01400,0.01884,0.00016
Money,ABC Discs,Putter,Understable,Flat,0.17430,0.10500,0.01000,0.02200,0.01700,0.00313,0.00247
Secret Weapon,ABC Discs,Driver,Overstable,Concave,0.17510,0.10550,0.01900,0.02000,0.01100,0.00718,0.00456
Baobab,Above Ground Level,Midrange,Understable,NONE,0.17680,0.10650,0.01100,0.01700,0.01300,0.00861,0.00336
Cedar,Above Ground Level,Driver,Overstable,Concave,0.17850,0.10750,0.02200,0.01700,0.01100,0.01336,0.00279
Cypress,Above Ground Level,Driver,Overstable,Concave,0.17600,0.10600,0.02250,0.01500,0.01100,0.00804,0.00404
Locust,Above Ground Level,Driver,Overstable,Concave,0.17600,0.10600,0.02000,0.01600,0.01100,0.00801,0.00402
Madrone,Above Ground Level,Putter,Understable,Flat,0.17430,0.10500,0.01000,0.02200,0.01700,0.00313,0.00247
Magnolia,Above Ground Level,Midrange,Stable,Flat,0.18090,0.10900,0.01400,0.02000,0.01200,0.01884,0.00016
Manzanita,Above Ground Level,Putter,Understable,Flat,0.17430,0.10500,0.01150,0.02100,0.01600,0.00336,0.00265
Ponderosa,Above Ground Level,Putter,Understable,Flat,0.17510,0.10550,0.01050,0.02100,0.01500,0.00524,0.00332
Sycamore,Above Ground Level,Fairway,Stable,Concave,0.17600,0.10600,0.01700,0.02200,0.01300,0.01009,0.00507
Arrow - Approach & Putter,Aerobie,Midrange,Stable,Concave,0.17760,0.10700,0.01500,0.01800,0.01100,0.01297,0.00381
Epic Driver,Aerobie,Driver,Overstable,Concave,0.17510,0.10550,0.03300,0.01400,0.01100,0.00759,0.00481
Sharpshooter #1,Aerobie,Driver,Stable,Concave,0.17600,0.10600,0.02050,0.01700,0.01300,0.00864,0.00434
Sharpshooter #2,Aerobie,Midrange,Overstable,Concave,0.17510,0.10550,0.01500,0.01700,0.01200,0.00522,0.00331
Sharpshooter #3,Aerobie,Midrange,Stable,NONE,0.17680,0.10650,0.01250,0.01700,0.01300,0.00900,0.00352
Albatrossdisc Driver,Albatrossdisc,Fairway,Overstable,Concave,0.17430,0.10500,0.01750,0.01600,0.01200,0.00368,0.00291
Albatrossdisc Midrange,Albatrossdisc,Putter,Understable,Flat,0.17510,0.10550,0.01050,0.01900,0.01300,0.00473,0.00300
Albatrossdisc Putter,Albatrossdisc,Putter,Understable,Flat,0.17600,0.10600,0.00800,0.02100,0.01600,0.00696,0.00350
Caravel,Albatrossdisc,Fairway,Stable,Concave,0.17600,0.10600,0.01650,0.02000,0.01300,0.00903,0.00454
Frigate,Albatrossdisc,Midrange,Overstable,NONE,0.17600,0.10600,0.01150,0.01500,0.01200,0.00570,0.00286
Galley,Albatrossdisc,Putter,Understable,Flat,0.17510,0.10550,0.01050,0.01800,0.01400,0.00448,0.00284
Apollo,Alfa Discs,Midrange,Stable,NONE,0.18090,0.10900,0.01350,0.01800,0.01300,0.01696,0.00014
Dragonfly,AquaFlight Discs,Putter,Stable,Flat,0.17430,0.10500,0.00950,0.01600,0.01100,0.00215,0.00170
Osprey,AquaFlight Discs,Driver,Overstable,Concave,0.17430,0.10500,0.02300,0.01600,0.01200,0.00473,0.00374
Peace Frog,AquaFlight Discs,Putter,Understable,Flat,0.17430,0.10500,0.00950,0.02200,0.01600,0.00299,0.00236
Pelican,AquaFlight Discs,Fairway,Overstable,Concave,0.17510,0.10550,0.01700,0.02000,0.01200,0.00667,0.00423
Swift,AquaFlight Discs,Driver,Stable,Concave,0.17430,0.10500,0.01950,0.01600,0.01100,0.00406,0.00321
50 Cal,Arsenal Discs,Driver,Stable,Concave,0.17510,0.10550,0.01950,0.01600,0.01200,0.00586,0.00371
Air Strike,Arsenal Discs,Driver,Overstable,Concave,0.17430,0.10500,0.02350,0.01500,0.01200,0.00453,0.00358
C4,Arsenal Discs,Putter,Stable,Flat,0.17510,0.10550,0.01000,0.01900,0.01300,0.00460,0.00292
Cyborg,Arsenal Discs,Fairway,Stable,Concave,0.17430,0.10500,0.01800,0.01600,0.01200,0.00378,0.00298
Morningstar,Arsenal Discs,Midrange,Stable,NONE,0.18010,0.10850,0.01300,0.01900,0.01300,0.01691,0.00114
Alias,Axiom Discs,Midrange,Understable,NONE,0.17850,0.10750,0.01200,0.01800,0.01200,0.01415,0.00295
Clash,Axiom Discs,Fairway,Stable,Concave,0.17510,0.10550,0.01800,0.01400,0.01100,0.00485,0.00307
Crave,Axiom Discs,Driver,Overstable,Concave,0.17510,0.10550,0.01850,0.01400,0.01200,0.00494,0.00313
Defy,Axiom Discs,Driver,Overstable,Concave,0.17510,0.10550,0.02200,0.01500,0.01100,0.00598,0.00379
Delirium,Axiom Discs,Driver,Overstable,Concave,0.17510,0.10550,0.02550,0.01800,0.01200,0.00800,0.00507
Envy,Axiom Discs,Putter,Stable,Flat,0.17430,0.10500,0.01100,0.01800,0.01400,0.00276,0.00218
Excite,Axiom Discs,Driver,Overstable,Concave,0.17510,0.10550,0.02600,0.02100,0.01200,0.00947,0.00601
Fireball,Axiom Discs,Driver,Overstable,Concave,0.17510,0.10550,0.02000,0.01400,0.01100,0.00521,0.00330
Hex,Axiom Discs,Midrange,Stable,Flat,0.17760,0.10700,0.01450,0.01600,0.01300,0.01141,0.00335
Insanity,Axiom Discs,Driver,Overstable,Concave,0.17510,0.10550,0.02050,0.01400,0.01100,0.00530,0.00336
Inspire,Axiom Discs,Driver,Stable,Concave,0.17510,0.10550,0.01850,0.01500,0.01200,0.00530,0.00336
