time_ms, meas_time_ms, frame_id, lin_x_m, lin_y_m, lin_z_m, ang_h_rad, ang_p_rad, ang_s_rad, disc_index, player
8948.19560000, 8906.07756800, 4652, -0.189, -0.108, 0.317, -0.15104, -0.20287, 2.79504, 6, 1, 0
8948.19560000, 8907.99232800, 4653, -0.185, -0.109, 0.320, -0.46173, -0.20053, 2.95846, 6, 1, 0
8948.19560000, 8911.82062400, 4655, -0.204, -0.102, 0.299, -0.24692, -0.24315, 2.83686, 6, 1, 0
8948.19560000, 8913.73562400, 4656, -0.203, -0.102, 0.299, -0.39317, -0.26512, 2.91828, 6, 1, 0
8948.19560000, 8915.64948800, 4657, -0.198, -0.104, 0.303, -0.37465, -0.24861, 2.90490, 6, 1, 0
8948.19560000, 8917.56448800, 4658, -0.191, -0.106, 0.309, -0.19152, -0.24351, 2.79901, 6, 1, 0
8948.19560000, 8919.47870400, 4659, -0.228, -0.094, 0.272, -0.32546, -0.36992, 2.88611, 6, 1, 0
8948.19560000, 8921.39343200, 4660, -0.206, -0.100, 0.292, -0.19072, -0.29857, 2.79831, 6, 1, 0
8948.19560000, 8923.30760000, 4661, -0.214, -0.098, 0.283, -0.36531, -0.32505, 2.89734, 6, 1, 0
8948.19560000, 8925.22246400, 4662, -0.167, -0.111, 0.328, -0.17890, -0.19925, 2.79084, 6, 1, 0
8948.19560000, 8927.13662400, 4663, -0.169, -0.110, 0.325, -0.10122, -0.23239, 2.74823, 6, 1, 0
8948.19560000, 8929.05068000, 4664, -0.168, -0.111, 0.325, -0.22835, -0.21350, 2.81711, 6, 1, 0
8948.19560000, 8930.96548800, 4665, -0.199, -0.101, 0.294, -0.33856, -0.31891, 2.87555, 6, 1, 0
8948.19560000, 8932.88046400, 4666, -0.211, -0.097, 0.281, -0.37660, -0.37545, 2.90191, 6, 1, 0
8948.19560000, 8934.79446400, 4667, -0.182, -0.105, 0.308, -0.15954, -0.27675, 2.76481, 6, 1, 0
8948.19560000, 8936.70856800, 4668, -0.196, -0.101, 0.293, -0.27712, -0.31791, 2.83553, 6, 1, 0
8948.19560000, 8938.62356800, 4669, -0.165, -0.110, 0.323, -0.28437, -0.22663, 2.83430, 6, 1, 0
8948.19560000, 8940.53756800, 4670, -0.168, -0.109, 0.319, -0.17127, -0.24892, 2.77223, 6, 1, 0
8948.19560000, 8942.45260000, 4671, -0.156, -0.112, 0.330, -0.11232, -0.24065, 2.74162, 6, 1, 0
8948.19560000, 8944.36652000, 4672, -0.195, -0.100, 0.291, -0.16887, -0.35178, 2.76650, 6, 1, 0
8948.19560000, 8946.28143200, 4673, -0.144, -0.116, 0.340, -0.15631, -0.21023, 2.75652, 6, 1, 0
8948.19560000, 8948.19560000, 4674, -0.189, -0.102, 0.295, -0.28218, -0.33127, 2.82379, 6, 1, 0
8950.19560000, 8950.11038400, 4675, -0.207, -0.096, 0.276, -0.25513, -0.40967, 2.81001, 6, 1, 1
8952.19560000, 8952.02462400, 4676, -0.201, -0.098, 0.282, -0.29479, -0.39579, 2.83022, 6, 1, 1
8954.19560000, 8953.93938400, 4677, -0.184, -0.103, 0.298, -0.22170, -0.34095, 2.78145, 6, 1, 1
8956.19560000, 8955.85308800, 4678, -0.184, -0.102, 0.296, -0.12959, -0.36645, 2.72722, 6, 1, 1
8958.19560000, 8957.76838400, 4679, -0.183, -0.102, 0.297, -0.12120, -0.36968, 2.71945, 6, 1, 1
8960.19560000, 8959.68248800, 4680, -0.172, -0.105, 0.306, -0.13886, -0.32883, 2.72485, 6, 1, 1
8962.19560000, 8961.59656800, 4681, -0.165, -0.107, 0.312, -0.15405, -0.31084, 2.73330, 6, 1, 1
8964.19560000, 8963.51124800, 4682, -0.158, -0.109, 0.318, -0.20246, -0.28246, 2.75768, 6, 1, 1
8966.19560000, 8965.42627200, 4683, -0.169, -0.106, 0.307, -0.11912, -0.34846, 2.70689, 6, 1, 1
8968.19560000, 8967.34048800, 4684, -0.174, -0.104, 0.302, -0.17080, -0.35308, 2.73413, 6, 1, 1
8970.19560000, 8969.25430400, 4685, -0.175, -0.104, 0.299, -0.25034, -0.35659, 2.77886, 6, 1, 1
8971.19560000, 8971.16943200, 4686, -0.178, -0.102, 0.295, -0.16484, -0.38932, 2.72442, 6, 1, 1
