time_ms, meas_time_ms, frame_id, lin_x_m, lin_y_m, lin_z_m, ang_h_rad, ang_p_rad, ang_s_rad, disc_index, player
13428.03611200, 13389.74697600, 6994, -0.391, -0.121, 0.276, -0.58880, -0.15239, 0.38542, 6, 1, 0
13428.03611200, 13391.66197600, 6995, -0.400, -0.118, 0.268, -0.68213, -0.20463, 0.44920, 6, 1, 0
13428.03611200, 13393.57568000, 6996, -0.381, -0.123, 0.284, -0.62844, -0.15831, 0.40548, 6, 1, 0
13428.03611200, 13395.49081600, 6997, -0.378, -0.124, 0.287, -0.61516, -0.15088, 0.39531, 6, 1, 0
13428.03611200, 13397.40503200, 6998, -0.369, -0.126, 0.294, -0.69010, -0.17560, 0.44771, 6, 1, 0
13428.03611200, 13399.31908000, 6999, -0.376, -0.124, 0.288, -0.72232, -0.20951, 0.47420, 6, 1, 0
13428.03611200, 13401.23392000, 7000, -0.369, -0.126, 0.294, -0.73826, -0.20907, 0.48704, 6, 1, 0
13428.03611200, 13403.14813600, 7001, -0.424, -0.112, 0.247, -0.62623, -0.26503, 0.43116, 6, 1, 0
13428.03611200, 13405.06294400, 7002, -0.451, -0.106, 0.224, -0.56569, -0.30420, 0.39979, 6, 1, 0
13428.03611200, 13406.97719200, 7003, -0.440, -0.108, 0.234, -0.47302, -0.25419, 0.33428, 6, 1, 0
13428.03611200, 13408.89184000, 7004, -0.400, -0.118, 0.268, -0.56577, -0.20890, 0.37754, 6, 1, 0
13428.03611200, 13410.80621600, 7005, -0.429, -0.110, 0.242, -0.45931, -0.24248, 0.32191, 6, 1, 0
13428.03611200, 13412.72051200, 7006, -0.410, -0.115, 0.259, -0.53284, -0.23199, 0.36372, 6, 1, 0
13428.03611200, 13414.63462400, 7007, -0.337, -0.133, 0.320, -0.58745, -0.13508, 0.37768, 6, 1, 0
13428.03611200, 13416.54994400, 7008, -0.449, -0.105, 0.225, -0.42437, -0.30054, 0.31171, 6, 1, 0
13428.03611200, 13418.46397600, 7009, -0.417, -0.113, 0.252, -0.48449, -0.25145, 0.33953, 6, 1, 0
13428.03611200, 13420.37816000, 7010, -0.473, -0.099, 0.204, -0.41269, -0.38302, 0.31954, 6, 1, 0
13428.03611200, 13422.29313600, 7011, -0.450, -0.105, 0.223, -0.50943, -0.35464, 0.37702, 6, 1, 0
13428.03611200, 13424.20697600, 7012, -0.470, -0.099, 0.206, -0.42014, -0.39093, 0.32612, 6, 1, 0
13428.03611200, 13426.12211200, 7013, -0.442, -0.106, 0.231, -0.39795, -0.31788, 0.29744, 6, 1, 0
13428.03611200, 13428.03611200, 7014, -0.393, -0.118, 0.272, -0.34735, -0.21418, 0.25766, 6, 1, 0
13430.03611200, 13429.95094400, 7015, -0.403, -0.116, 0.263, -0.37340, -0.24326, 0.27346, 6, 1, 1
13432.03611200, 13431.86497600, 7016, -0.416, -0.112, 0.252, -0.39244, -0.27858, 0.29240, 6, 1, 1
13434.03611200, 13433.77992000, 7017, -0.384, -0.120, 0.278, -0.47958, -0.24012, 0.34011, 6, 1, 1
13436.03611200, 13435.69405600, 7018, -0.415, -0.112, 0.251, -0.44699, -0.30652, 0.33192, 6, 1, 1
13438.03611200, 13437.60894400, 7019, -0.405, -0.114, 0.260, -0.41755, -0.28207, 0.31177, 6, 1, 1
13440.03611200, 13439.52300000, 7020, -0.441, -0.105, 0.229, -0.40143, -0.37391, 0.31553, 6, 1, 1
13442.03611200, 13441.43719200, 7021, -0.406, -0.114, 0.259, -0.47090, -0.31233, 0.35118, 6, 1, 1
13444.03611200, 13443.35205600, 7022, -0.376, -0.121, 0.284, -0.43998, -0.25054, 0.32273, 6, 1, 1
13446.03611200, 13445.26640800, 7023, -0.387, -0.118, 0.274, -0.33623, -0.25947, 0.26318, 6, 1, 1
13448.03611200, 13447.18111200, 7024, -0.411, -0.111, 0.253, -0.35952, -0.32256, 0.28488, 6, 1, 1
13450.03611200, 13449.09562400, 7025, -0.422, -0.108, 0.243, -0.27302, -0.35116, 0.23413, 6, 1, 1
13451.03611200, 13451.01005600, 7026, -0.452, -0.100, 0.218, -0.33616, -0.45995, 0.29371, 6, 1, 1
13453.03611200, 13452.92411200, 7027, -0.410, -0.111, 0.253, -0.53064, -0.39284, 0.41652, 6, 1, 1
