time_ms, lin_x_pos, lin_y_pos, lin_z_pos, lin_x_vel, lin_y_vel, lin_z_vel, ang_h_pos, ang_p_pos, ang_s_pos, ang_h_vel, ang_p_vel, ang_s_vel, lin_x_pos_var, lin_y_pos_var, lin_z_pos_var, lin_x_vel_var, lin_y_vel_var, lin_z_vel_var, ang_h_pos_var, ang_p_pos_var, ang_s_pos_var, ang_h_vel_var, ang_p_vel_var, ang_s_vel_var
13429.03611200, -0.395, -0.118, 0.270, -1.945, 0.567, -1.736, -0.34150, -0.21269, 0.25430, 5.84625, 1.48168, -3.35605, 0.05051, 0.05051, 0.05051, 10.02000, 10.02000, 10.02000, 0.05051, 0.05051, 0.05051, 10.02000, 10.02000, 10.02000
13430.03611200, -0.397, -0.117, 0.268, -1.945, 0.567, -1.736, -0.33566, -0.21121, 0.25094, 5.84625, 1.48168, -3.35605, 0.05104, 0.05104, 0.05104, 10.04000, 10.04000, 10.04000, 0.05104, 0.05104, 0.05104, 10.04000, 10.04000, 10.04000
13431.03611200, -0.404, -0.115, 0.262, -1.947, 0.568, -1.737, -0.36138, -0.23653, 0.26643, 5.83386, 1.47117, -3.34866, 0.00888, 0.00888, 0.00888, 10.05343, 10.05343, 10.05343, 0.00888, 0.00888, 0.00888, 10.05343, 10.05343, 10.05343
13432.03611200, -0.406, -0.115, 0.260, -1.947, 0.568, -1.737, -0.35555, -0.23506, 0.26308, 5.83386, 1.47117, -3.34866, 0.00942, 0.00942, 0.00942, 10.07343, 10.07343, 10.07343, 0.00942, 0.00942, 0.00942, 10.07343, 10.07343, 10.07343
13433.03611200, -0.413, -0.113, 0.254, -1.959, 0.571, -1.748, -0.36765, -0.25475, 0.27398, 5.78947, 1.41881, -3.31338, 0.00538, 0.00538, 0.00538, 10.06531, 10.06531, 10.06531, 0.00538, 0.00538, 0.00538, 10.06531, 10.06531, 10.06531
13434.03611200, -0.415, -0.112, 0.253, -1.959, 0.571, -1.748, -0.36186, -0.25333, 0.27067, 5.78947, 1.41881, -3.31338, 0.00594, 0.00594, 0.00594, 10.08531, 10.08531, 10.08531, 0.00594, 0.00594, 0.00594, 10.08531, 10.08531, 10.08531
13435.03611200, -0.405, -0.115, 0.261, -1.898, 0.555, -1.696, -0.40016, -0.24696, 0.29337, 5.55203, 1.44543, -3.17331, 0.00428, 0.00428, 0.00428, 10.04047, 10.04047, 10.04047, 0.00428, 0.00428, 0.00428, 10.04047, 10.04047, 10.04047
13436.03611200, -0.407, -0.114, 0.259, -1.898, 0.555, -1.696, -0.39461, -0.24552, 0.29019, 5.55203, 1.44543, -3.17331, 0.00485, 0.00485, 0.00485, 10.06047, 10.06047, 10.06047, 0.00485, 0.00485, 0.00485, 10.06047, 10.06047, 10.06047
13437.03611200, -0.412, -0.113, 0.255, -1.921, 0.561, -1.716, -0.40630, -0.26415, 0.30076, 5.41009, 1.28013, -3.06024, 0.00383, 0.00383, 0.00383, 9.97146, 9.97146, 9.97146, 0.00383, 0.00383, 0.00383, 9.97146, 9.97146, 9.97146
13438.03611200, -0.414, -0.112, 0.253, -1.921, 0.561, -1.716, -0.40089, -0.26287, 0.29770, 5.41009, 1.28013, -3.06024, 0.00441, 0.00441, 0.00441, 9.99146, 9.99146, 9.99146, 0.00441, 0.00441, 0.00441, 9.99146, 9.99146, 9.99146
13439.03611200, -0.413, -0.112, 0.254, -1.892, 0.554, -1.692, -0.40063, -0.26753, 0.29899, 5.35574, 1.21751, -3.01433, 0.00364, 0.00364, 0.00364, 9.85805, 9.85805, 9.85805, 0.00364, 0.00364, 0.00364, 9.85805, 9.85805, 9.85805
13440.03611200, -0.415, -0.112, 0.252, -1.892, 0.554, -1.692, -0.39528, -0.26631, 0.29597, 5.35574, 1.21751, -3.01433, 0.00423, 0.00423, 0.00423, 9.87805, 9.87805, 9.87805, 0.00423, 0.00423, 0.00423, 9.87805, 9.87805, 9.87805
13441.03611200, -0.425, -0.109, 0.243, -1.989, 0.579, -1.775, -0.39177, -0.29748, 0.29885, 5.33313, 0.82194, -2.94243, 0.00356, 0.00356, 0.00356, 9.70569, 9.70569, 9.70569, 0.00356, 0.00356, 0.00356, 9.70569, 9.70569, 9.70569
13442.03611200, -0.426, -0.109, 0.242, -1.989, 0.579, -1.775, -0.38644, -0.29666, 0.29590, 5.33313, 0.82194, -2.94243, 0.00416, 0.00416, 0.00416, 9.72569, 9.72569, 9.72569, 0.00416, 0.00416, 0.00416, 9.72569, 9.72569, 9.72569
13443.03611200, -0.422, -0.110, 0.245, -1.906, 0.559, -1.707, -0.40625, -0.30050, 0.30942, 4.99816, 0.75977, -2.72319, 0.00353, 0.00353, 0.00353, 9.52298, 9.52298, 9.52298, 0.00353, 0.00353, 0.00353, 9.52298, 9.52298, 9.52298
13444.03611200, -0.424, -0.109, 0.243, -1.906, 0.559, -1.707, -0.40125, -0.29974, 0.30670, 4.99816, 0.75977, -2.72319, 0.00413, 0.00413, 0.00413, 9.54298, 9.54298, 9.54298, 0.00413, 0.00413, 0.00413, 9.54298, 9.54298, 9.54298
13445.03611200, -0.412, -0.112, 0.253, -1.707, 0.511, -1.540, -0.40774, -0.28439, 0.30873, 4.83736, 0.96408, -2.65663, 0.00352, 0.00352, 0.00352, 9.31931, 9.31931, 9.31931, 0.00352, 0.00352, 0.00352, 9.31931, 9.31931, 9.31931
13446.03611200, -0.414, -0.111, 0.252, -1.707, 0.511, -1.540, -0.40291, -0.28342, 0.30607, 4.83736, 0.96408, -2.65663, 0.00413, 0.00413, 0.00413, 9.33931, 9.33931, 9.33931, 0.00413, 0.00413, 0.00413, 9.33931, 9.33931, 9.33931
13447.03611200, -0.407, -0.113, 0.257, -1.593, 0.484, -1.444, -0.37830, -0.27536, 0.29070, 5.12117, 1.06603, -2.83921, 0.00352, 0.00352, 0.00352, 9.10331, 9.10331, 9.10331, 0.00352, 0.00352, 0.00352, 9.10331, 9.10331, 9.10331
13448.03611200, -0.409, -0.112, 0.256, -1.593, 0.484, -1.444, -0.37318, -0.27429, 0.28786, 5.12117, 1.06603, -2.83921, 0.00413, 0.00413, 0.00413, 9.12331, 9.12331, 9.12331, 0.00413, 0.00413, 0.00413, 9.12331, 9.12331, 9.12331
