time_elapsed,pos_x,pos_y,pos_z,disc_state,orient_x,orient_y,orient_z
0.01,-0.31975,0.348228,2.00962,2,-0.0576074,-0.830633,0.553833
0.02,-0.0212608,0.352666,2.07692,2,-0.0608622,-0.821183,0.56741
0.03,0.27646,0.357209,2.143,2,-0.0639214,-0.811869,0.58033
0.04,0.573404,0.361767,2.2079,2,-0.0668062,-0.802672,0.592667
0.05,0.869566,0.366265,2.27168,2,-0.0695346,-0.793576,0.604485
0.06,1.16494,0.370641,2.3344,2,-0.0721215,-0.784565,0.615837
0.07,1.45952,0.374843,2.3961,2,-0.0745798,-0.775628,0.626768
0.08,1.75331,0.378828,2.45682,2,-0.0769201,-0.766754,0.637316
0.09,2.04631,0.382557,2.51661,2,-0.0791515,-0.757933,0.647513
0.1,2.3385,0.386002,2.57549,2,-0.0812819,-0.749157,0.657387
0.11,2.62989,0.389137,2.63351,2,-0.0833179,-0.74042,0.666961
0.12,2.92049,0.39194,2.69068,2,-0.0852654,-0.731716,0.676255
0.13,3.21028,0.394394,2.74703,2,-0.0871292,-0.723042,0.685287
0.14,3.49927,0.396485,2.8026,2,-0.0889138,-0.714394,0.694071
0.15,3.78746,0.398201,2.8574,2,-0.0906231,-0.70577,0.702621
0.16,4.07485,0.399532,2.91145,2,-0.0922603,-0.697167,0.710947
0.17,4.36144,0.40047,2.96478,2,-0.0938287,-0.688585,0.71906
0.18,4.64724,0.401009,3.0174,2,-0.0953308,-0.680022,0.726968
0.19,4.93223,0.401145,3.06934,2,-0.0967693,-0.671478,0.734679
0.2,5.21643,0.400873,3.1206,2,-0.0981463,-0.662952,0.7422
0.21,5.49984,0.400191,3.17122,2,-0.0994641,-0.654447,0.749538
0.22,5.78245,0.399097,3.22119,2,-0.100724,-0.64596,0.756697
0.23,6.06428,0.39759,3.27054,2,-0.101929,-0.637494,0.763683
0.24,6.34531,0.395671,3.31929,2,-0.10308,-0.629049,0.770501
0.25,6.62555,0.393338,3.36744,2,-0.104179,-0.620626,0.777155
0.26,6.90501,0.390593,3.41501,2,-0.105227,-0.612226,0.78365
0.27,7.18369,0.387436,3.46201,2,-0.106225,-0.603849,0.789989
0.28,7.46159,0.383871,3.50846,2,-0.107176,-0.595498,0.796176
0.29,7.7387,0.379898,3.55437,2,-0.10808,-0.587172,0.802214
0.3,8.01504,0.37552,3.59974,2,-0.108939,-0.578874,0.808107
0.31,8.29061,0.370739,3.6446,2,-0.109754,-0.570605,0.813858
0.32,8.5654,0.365559,3.68896,2,-0.110527,-0.562365,0.819469
0.33,8.83942,0.359982,3.73281,2,-0.111257,-0.554155,0.824945
0.34,9.11267,0.354012,3.77619,2,-0.111947,-0.545978,0.830287
0.35,9.38516,0.347652,3.81908,2,-0.112598,-0.537834,0.835498
0.36,9.65689,0.340905,3.86152,2,-0.11321,-0.529724,0.840581
0.37,9.92785,0.333777,3.9035,2,-0.113785,-0.521648,0.845539
0.38,10.1981,0.32627,3.94504,2,-0.114324,-0.51361,0.850374
0.39,10.4675,0.31839,3.98614,2,-0.114828,-0.505608,0.855088
0.4,10.7362,0.310139,4.02682,2,-0.115298,-0.497644,0.859684
0.41,11.0041,0.301523,4.06709,2,-0.115734,-0.489719,0.864165
0.42,11.2713,0.292547,4.10695,2,-0.116138,-0.481834,0.868532
0.43,11.5378,0.283213,4.14641,2,-0.116511,-0.473989,0.872788
0.44,11.8035,0.273529,4.18549,2,-0.116853,-0.466186,0.876935
0.45,12.0684,0.263497,4.22418,2,-0.117165,-0.458426,0.880976
0.46,12.3327,0.253124,4.26251,2,-0.117449,-0.450708,0.884912
0.47,12.5962,0.242414,4.30047,2,-0.117704,-0.443033,0.888745
0.48,12.8589,0.231372,4.33807,2,-0.117933,-0.435403,0.892478
0.49,13.1209,0.220003,4.37533,2,-0.118135,-0.427817,0.896112
0.5,13.3822,0.208312,4.41225,2,-0.118312,-0.420277,0.89965
0.51,13.6428,0.196305,4.44884,2,-0.118464,-0.412783,0.903093
0.52,13.9026,0.183987,4.4851,2,-0.118593,-0.405334,0.906443
0.53,14.1618,0.171363,4.52104,2,-0.118698,-0.397933,0.909703
0.54,14.4202,0.158438,4.55667,2,-0.11878,-0.390579,0.912874
0.55,14.6778,0.145218,4.592,2,-0.118841,-0.383273,0.915958
0.56,14.9348,0.131708,4.62703,2,-0.11888,-0.376014,0.918956
0.57,15.1911,0.117914,4.66177,2,-0.118899,-0.368804,0.921871
0.58,15.4467,0.103841,4.69623,2,-0.118899,-0.361642,0.924704
0.59,15.7015,0.089495,4.73041,2,-0.118879,-0.35453,0.927457
0.6,15.9557,0.0748807,4.76431,2,-0.11884,-0.347466,0.930131
0.61,16.2091,0.0600041,4.79795,2,-0.118784,-0.340452,0.932729
0.62,16.4619,0.0448706,4.83133,2,-0.118711,-0.333487,0.935251
0.63,16.7139,0.0294858,4.86446,2,-0.118621,-0.326572,0.937699
0.64,16.9653,0.0138552,4.89733,2,-0.118515,-0.319707,0.940075
0.65,17.216,-0.00201558,4.92996,2,-0.118393,-0.312892,0.942381
0.66,17.466,-0.018121,4.96235,2,-0.118257,-0.306127,0.944617
0.67,17.7153,-0.0344556,4.99451,2,-0.118106,-0.299413,0.946786
0.68,17.9639,-0.0510137,5.02644,2,-0.117941,-0.292748,0.948888
0.69,18.2119,-0.0677898,5.05814,2,-0.117762,-0.286134,0.950925
0.7,18.4592,-0.0847783,5.08962,2,-0.117571,-0.279571,0.952899
0.71,18.7058,-0.101974,5.12089,2,-0.117368,-0.273057,0.954811
0.72,18.9517,-0.119371,5.15195,2,-0.117152,-0.266595,0.956662
0.73,19.197,-0.136964,5.18281,2,-0.116926,-0.260182,0.958454
0.74,19.4416,-0.154747,5.21346,2,-0.116688,-0.253821,0.960187
0.75,19.6856,-0.172715,5.24391,2,-0.116439,-0.247509,0.961863
0.76,19.9289,-0.190863,5.27417,2,-0.116181,-0.241248,0.963484
0.77,20.1715,-0.209185,5.30424,2,-0.115913,-0.235037,0.96505
0.78,20.4135,-0.227675,5.33412,2,-0.115636,-0.228876,0.966563
0.79,20.6548,-0.246329,5.36382,2,-0.11535,-0.222766,0.968024
0.8,20.8955,-0.265141,5.39334,2,-0.115055,-0.216705,0.969433
0.81,21.1356,-0.284105,5.42269,2,-0.114752,-0.210694,0.970793
0.82,21.375,-0.303216,5.45186,2,-0.114442,-0.204733,0.972105
0.83,21.6137,-0.32247,5.48086,2,-0.114125,-0.198822,0.973368
0.84,21.8519,-0.34186,5.5097,2,-0.1138,-0.19296,0.974585
0.85,22.0894,-0.361381,5.53837,2,-0.113469,-0.187148,0.975756
0.86,22.3262,-0.381029,5.56689,2,-0.113132,-0.181385,0.976883
0.87,22.5625,-0.400798,5.59524,2,-0.112788,-0.17567,0.977967
0.88,22.7981,-0.420683,5.62345,2,-0.11244,-0.170005,0.979007
0.89,23.0331,-0.440679,5.6515,2,-0.112086,-0.164389,0.980007
0.9,23.2674,-0.460781,5.6794,2,-0.111726,-0.158821,0.980965
0.91,23.5012,-0.480983,5.70715,2,-0.111363,-0.153301,0.981885
0.92,23.7343,-0.501281,5.73476,2,-0.110995,-0.147829,0.982765
0.93,23.9668,-0.521671,5.76223,2,-0.110623,-0.142406,0.983607
0.94,24.1988,-0.542146,5.78956,2,-0.110247,-0.13703,0.984413
0.95,24.4301,-0.562702,5.81675,2,-0.109867,-0.131701,0.985182
0.96,24.6608,-0.583334,5.8438,2,-0.109484,-0.12642,0.985916
0.97,24.8909,-0.604038,5.87072,2,-0.109099,-0.121187,0.986616
