time_elapsed,pos_x,pos_y,pos_z,disc_state,orient_x,orient_y,orient_z
0.01,-0.319743,0.348308,2.00458,2,-0.0465813,-0.830932,0.554421
0.02,-0.0212375,0.352893,2.06682,2,-0.0496646,-0.821359,0.568245
0.03,0.276506,0.357638,2.1278,2,-0.0525524,-0.811945,0.581364
0.04,0.573482,0.362444,2.18759,2,-0.0552666,-0.802667,0.593862
0.05,0.869684,0.367229,2.24625,2,-0.0578256,-0.793508,0.605807
0.06,1.16511,0.371925,2.30383,2,-0.0602452,-0.784451,0.617258
0.07,1.45975,0.376472,2.36039,2,-0.0625382,-0.775481,0.628266
0.08,1.7536,0.380824,2.41597,2,-0.0647158,-0.766587,0.638871
0.09,2.04667,0.384938,2.47061,2,-0.0667874,-0.757757,0.64911
0.1,2.33895,0.388783,2.52435,2,-0.0687608,-0.748982,0.659013
0.11,2.63043,0.392328,2.57722,2,-0.0706431,-0.740254,0.668606
0.12,2.92113,0.395552,2.62926,2,-0.0724399,-0.731567,0.677911
0.13,3.21103,0.398434,2.68048,2,-0.0741564,-0.722915,0.686946
0.14,3.50014,0.400959,2.73093,2,-0.0757971,-0.714295,0.695728
0.15,3.78846,0.403113,2.78062,2,-0.0773657,-0.705703,0.704272
0.16,4.07599,0.404885,2.82957,2,-0.0788657,-0.697136,0.712588
0.17,4.36273,0.406267,2.87781,2,-0.0803002,-0.688592,0.720689
0.18,4.64868,0.407251,2.92535,2,-0.0816719,-0.680071,0.728583
0.19,4.93384,0.407833,2.97222,2,-0.0829832,-0.671571,0.736278
0.2,5.21822,0.408007,3.01843,2,-0.0842363,-0.663092,0.743783
0.21,5.50181,0.407771,3.06401,2,-0.0854334,-0.654633,0.751104
0.22,5.78462,0.407122,3.10896,2,-0.0865763,-0.646195,0.758246
0.23,6.06665,0.406059,3.1533,2,-0.0876668,-0.637778,0.765215
0.24,6.3479,0.404582,3.19704,2,-0.0887065,-0.629382,0.772017
0.25,6.62837,0.40269,3.24021,2,-0.0896971,-0.621008,0.778655
0.26,6.90807,0.400384,3.28281,2,-0.0906398,-0.612657,0.785134
0.27,7.187,0.397665,3.32486,2,-0.0915363,-0.60433,0.791458
0.28,7.46515,0.394534,3.36637,2,-0.0923877,-0.596028,0.797631
0.29,7.74254,0.390994,3.40735,2,-0.0931954,-0.587752,0.803656
0.3,8.01916,0.387046,3.44781,2,-0.0939606,-0.579502,0.809536
0.31,8.29501,0.382694,3.48778,2,-0.0946845,-0.57128,0.815275
0.32,8.57011,0.377938,3.52725,2,-0.0953683,-0.563087,0.820876
0.33,8.84444,0.372784,3.56624,2,-0.096013,-0.554924,0.826342
0.34,9.11802,0.367234,3.60476,2,-0.0966197,-0.546792,0.831675
0.35,9.39084,0.361291,3.64282,2,-0.0971895,-0.538692,0.836878
0.36,9.66291,0.354959,3.68044,2,-0.0977234,-0.530625,0.841955
0.37,9.93424,0.348243,3.71761,2,-0.0982224,-0.522592,0.846906
0.38,10.2048,0.341145,3.75436,2,-0.0986875,-0.514594,0.851736
0.39,10.4746,0.33367,3.79069,2,-0.0991196,-0.506632,0.856446
0.4,10.7437,0.325822,3.82661,2,-0.0995197,-0.498706,0.861039
0.41,11.0121,0.317607,3.86212,2,-0.0998886,-0.490819,0.865517
0.42,11.2797,0.309027,3.89725,2,-0.100227,-0.48297,0.869882
0.43,11.5466,0.300088,3.932,2,-0.100537,-0.47516,0.874137
0.44,11.8127,0.290794,3.96637,2,-0.100817,-0.467391,0.878283
0.45,12.0781,0.281151,4.00038,2,-0.10107,-0.459662,0.882324
0.46,12.3428,0.271163,4.03403,2,-0.101297,-0.451975,0.886261
0.47,12.6068,0.260835,4.06733,2,-0.101497,-0.44433,0.890095
0.48,12.87,0.250171,4.10029,2,-0.101671,-0.436727,0.89383
0.49,13.1325,0.239178,4.13292,2,-0.101821,-0.429168,0.897467
0.5,13.3943,0.227861,4.16522,2,-0.101948,-0.421653,0.901008
0.51,13.6554,0.216224,4.1972,2,-0.102051,-0.414182,0.904455
0.52,13.9158,0.204272,4.22888,2,-0.102132,-0.406757,0.907809
0.53,14.1755,0.192012,4.26025,2,-0.102191,-0.399376,0.911074
0.54,14.4344,0.179448,4.29132,2,-0.102229,-0.392042,0.91425
0.55,14.6927,0.166586,4.32211,2,-0.102247,-0.384753,0.917339
0.56,14.9503,0.153431,4.35261,2,-0.102246,-0.377511,0.920343
0.57,15.2071,0.139988,4.38283,2,-0.102225,-0.370316,0.923264
0.58,15.4633,0.126264,4.41279,2,-0.102186,-0.363169,0.926103
0.59,15.7188,0.112263,4.44248,2,-0.102129,-0.356068,0.928862
0.6,15.9735,0.0979918,4.47191,2,-0.102054,-0.349015,0.931543
0.61,16.2276,0.0834548,4.50109,2,-0.101964,-0.342011,0.934148
0.62,16.4811,0.068658,4.53002,2,-0.101857,-0.335054,0.936677
0.63,16.7338,0.0536069,4.55872,2,-0.101734,-0.328146,0.939133
0.64,16.9859,0.0383071,4.58717,2,-0.101597,-0.321286,0.941517
0.65,17.2372,0.0227641,4.6154,2,-0.101445,-0.314475,0.94383
0.66,17.4879,0.00698359,4.6434,2,-0.10128,-0.307712,0.946074
0.67,17.738,-0.00902896,4.67118,2,-0.101101,-0.300998,0.94825
0.68,17.9873,-0.0252679,4.69875,2,-0.100909,-0.294334,0.95036
0.69,18.236,-0.0417278,4.7261,2,-0.100705,-0.287718,0.952406
0.7,18.4841,-0.0584029,4.75325,2,-0.100489,-0.281151,0.954388
0.71,18.7315,-0.0752879,4.7802,2,-0.100261,-0.274634,0.956308
